TradingDate,TradingTime,OpenPrice,ClosePrice,HighPrice,LowPrice,Change,Volume,sma5,sma10,sma20,sma30,sma60,BOLLupper,BOLLmiddle,BOLLlower,MACD_macd,MACD_macdsignal,MACD_macdhist,rsi,cci,WR,KDJk,KDJd,KDJj,volumeRatio,ChangeRatio,label
20220104,47:00.0,4900,4899.4,4903,4898.2,-0.6,50,4901.24,4902.06,4908.76,4912.026667,4916.356667,4904.316422,4901.053049,4897.789677,-4.7180474,-4.108875431,-0.60917197,38.41221831,-78.23129252,-85.54216867,24.16472416,37.14581715,-1.797461797,21.003861,0.0011,-1
20220104,48:00.0,4900,4898.8,4900,4897,-0.6,48,4900.6,4901.3,4907.96,4911.28,4915.966667,4903.950594,4900.302033,4896.653472,-4.782088985,-4.243518142,-0.538570844,37.86106389,-98.06345282,-89.15662651,19.46775447,27.67547268,3.052318052,21.10769231,-0.0001,-1
20220104,49:00.0,4898.4,4900,4900,4896.2,1.2,63,4899.8,4901.28,4907.33,4910.566667,4915.61,4901.540011,4900.201355,4898.862699,-4.68204078,-4.331222669,-0.350818111,39.72385457,-87.21707264,-78.16091954,25.99553225,23.20933696,31.56792282,21.26819923,-0.0007,-1
20220104,50:00.0,4898.6,4895,4898.6,4895,-5,42,4898.64,4900.84,4905.34,4909.706667,4915.086667,4902.214783,4898.46757,4894.720358,-4.949159243,-4.454809984,-0.494349259,35.01392434,-129.5759528,-100,20.01262626,21.82530433,16.38727014,21.34732824,-0.0002,-1
20220104,51:00.0,4895,4891.8,4896.2,4891.8,-3.2,84,4897,4899.94,4903.74,4908.773333,4914.563333,4902.508592,4896.245047,4889.981501,-5.35731007,-4.635310001,-0.722000069,32.36875351,-182.2143698,-100,13.19444444,19.73420098,0.114931365,21.58555133,0.0014,-1
20220104,52:00.0,4891.2,4887,4891.6,4886.8,-4.8,103,4894.52,4897.88,4902.13,4907.74,4913.946667,4902.651378,4893.163365,4883.675351,-5.998940375,-4.908036076,-1.090904299,28.84822422,-238.8210463,-99.05660377,0.505050505,11.23737374,-20.95959596,21.89393939,-0.0006,-1
20220104,53:00.0,4887.6,4891.4,4891.8,4887,4.4,48,4893.04,4896.82,4901.04,4906.84,4913.386667,4901.200749,4892.575576,4883.950404,-6.082281037,-5.142885068,-0.939395969,35.74699267,-152.1473159,-78.30188679,12.12121212,8.606902357,19.14983165,21.99245283,-0.0002,-1
20220104,54:00.0,4890.6,4890.8,4890.8,4886.8,-0.6,32,4891.2,4895.5,4900.29,4905.953333,4912.85,4897.093708,4891.983718,4886.873727,-6.126125931,-5.339533241,-0.786592691,35.24514902,-123.9740821,-81.13207547,23.42064715,12.01563659,46.23066826,22.03007519,-0.0002,-1
20220104,55:00.0,4888.2,4891,4892.6,4888,0.2,32,4890.4,4894.52,4899.47,4905.1,4912.33,4895.124529,4891.655812,4888.187094,-6.074709528,-5.486568498,-0.58814103,35.56984843,-88.73974646,-80.18867925,37.80921367,24.45035765,64.52692571,22.06741573,0,-1
20220104,56:00.0,4890.2,4888,4890.8,4888,-3,26,4889.64,4893.32,4898.32,4904.16,4911.79,4894.009546,4890.437208,4886.86487,-6.204514801,-5.630157759,-0.574357042,32.90457697,-93.83498714,-93.68421053,33.08960377,31.43982153,36.38916826,22.08208955,0.0003,-1
20220104,57:00.0,4888.8,4885.6,4888.8,4885.4,-2.4,36,4889.36,4891.94,4897,4903.153333,4911.216667,4893.289063,4888.824805,4884.360547,-6.426960359,-5.789518279,-0.63744208,30.90921331,-106.2421973,-99.01960784,22.71609467,31.2049707,5.738342607,22.133829,-0.0004,-1
20220104,58:00.0,4885.2,4883,4885.8,4882,-2.6,222,4887.68,4890.36,4895.83,4902.093333,4910.6,4893.020825,4886.883203,4880.745582,-6.735406761,-5.978695975,-0.756710786,28.86694254,-126.5327696,-95.79831933,10.96713174,22.25761006,-11.61382491,22.87407407,-0.0003,-1
20220104,59:00.0,4883.4,4881,4883.4,4881,-2,57,4885.72,4888.46,4894.87,4901.04,4909.943333,4892.008348,4884.922136,4877.835924,-7.059854434,-6.194927667,-0.864926767,27.36890033,-131.6684378,-100,4.070580014,12.58460214,-12.95746424,23,-0.0006,-1
20220104,00:00.0,4881,4876.4,4881.2,4875.6,-4.6,176,4882.8,4886.6,4893.72,4899.093333,4909.213333,4890.037302,4882.081424,4874.125545,-7.600548715,-6.476051876,-1.124496838,24.25161569,-164.1169154,-97.08029197,4.899040053,6.645583935,1.405952289,23.5625,-0.0002,-1
20220104,01:00.0,4877.4,4882,4882,4875.2,5.6,61,4881.6,4885.62,4892.78,4897.7,4908.55,4888.08885,4882.054283,4876.019715,-7.490830004,-6.679007502,-0.811822502,34.0931842,-121.0673903,-72.58064516,18.42105263,9.130224233,37.00270943,23.6996337,-0.0004,-1
20220104,02:00.0,4881.6,4880.6,4884.2,4880,-1.4,78,4880.6,4884.98,4891.43,4896.413333,4907.86,4886.087928,4881.569522,4877.051115,-7.431183378,-6.829442677,-0.601740701,32.94092181,-81.06747231,-78.22580645,35.40218471,19.57409246,67.05836919,23.89781022,0,-1
20220104,03:00.0,4879.8,4883.4,4883.4,4879.8,2.8,43,4880.68,4884.18,4890.5,4895.42,4907.256667,4886.875892,4882.179681,4877.48347,-7.076404017,-6.878834945,-0.197569072,37.49121673,-61.89342066,-64.95726496,64.01816911,39.28046882,113.4935697,23.96727273,-0.0001,-1
20220104,04:00.0,4882.2,4881.2,4882.6,4879.2,-2.2,30,4880.72,4883.22,4889.36,4894.6,4906.653333,4886.56294,4881.853121,4877.143301,-6.893298774,-6.881727711,-0.011571063,35.45551078,-68.15642458,-71.42857143,69.57372467,56.3313595,96.05845501,23.98913043,-0.0005,-1
