,TradingDate,TradingTime,Symbol,OpenPrice,ClosePrice,HighPrice,LowPrice,Change_,ChangeRatio,Position,Volume,Amount,sma5,sma10,sma20,sma30,sma60,BOLLupper,BOLLmiddle,BOLLlower,MACD_macd,MACD_macdsignal,MACD_macdhist,rsi,cci,WR,KDJk,KDJd,KDJj,volumeRatio,absPriceChange,retPriceChange,retChgAfter,label
0,20220207,2022-02-07 09:30:00,IF2206,4592.0,4592.0,4592.0,4592.0,32.8,0.007,45095,54.0,74390400.0,,,,,,,,,,,,,,,,,,54.0,0.0,0.0,0.004486062717770114,1
1,20220207,2022-02-07 09:31:00,IF2206,4593.2,4605.6,4611.6,4593.2,13.6,0.003,44865,445.0,614750280.0,,,,,,,,,,,,,,,,,,249.5,13.600000000000364,0.002961672473867675,0.0011724856696195144,0
2,20220207,2022-02-07 09:32:00,IF2206,4606.0,4601.8,4607.6,4600.8,-3.8,-0.001,44786,150.0,207144540.0,,,,,,,,,,,,,,,,,,216.33333333333334,3.800000000000182,-0.0008250825082508646,0.003911512886261897,1
3,20220207,2022-02-07 09:33:00,IF2206,4601.2,4608.6,4608.8,4601.2,6.8,0.002,44700,103.0,142313880.0,,,,,,,,,,,,,,,,,,188.0,6.800000000000182,0.0014776826459212008,0.002083062101288776,1
4,20220207,2022-02-07 09:34:00,IF2206,4607.8,4612.2,4613.6,4607.8,3.6,0.001,44603,165.0,228237300.0,4604.04,,,,,4617.890400716208,4604.04,4590.189599283792,,,,,,,,,,183.4,3.5999999999994543,0.000781148287983217,0.0011708078574217393,0
5,20220207,2022-02-07 09:35:00,IF2206,4612.4,4619.4,4619.4,4612.4,7.2,0.002,44521,125.0,173142960.0,4609.5199999999995,,,,,4621.180249582397,4609.16,4597.139750417603,,,,,,,,,,173.66666666666666,7.199999999999818,0.0015610771432287885,-0.000779321989868696,0
6,20220207,2022-02-07 09:36:00,IF2206,4619.4,4627.4,4628.4,4619.4,8.0,0.002,44417,192.0,266390520.0,4613.88,,,,,4632.900985249648,4615.24,4597.579014750351,,,,,,,,,,176.28571428571428,8.0,0.0017318266441529204,-0.0031983403206982913,-1
7,20220207,2022-02-07 09:37:00,IF2206,4627.4,4625.2,4631.8,4625.2,-2.2,-0.001,44367,117.0,162482760.0,4618.56,,,,,4633.053915963754,4618.5599999999995,4604.066084036245,,,,,,,,,,168.875,2.199999999999818,-0.0004754289665902706,-0.0034160684943354194,-1
8,20220207,2022-02-07 09:38:00,IF2206,4625.0,4623.0,4625.6,4620.0,-2.2,-0.001,44337,103.0,142849920.0,4621.4400000000005,,,,,4630.68451032024,4620.04,4609.3954896797595,,,,,,,79.38050582551803,89.20500352583274,59.731510424888626,161.55555555555554,2.199999999999818,-0.00047565510680615286,-0.0023794073112697383,-1
9,20220207,2022-02-07 09:39:00,IF2206,4624.0,4633.6,4633.6,4623.8,10.6,0.002,44274,120.0,166655400.0,4625.720000000001,4614.879999999999,,,,4634.048013487925,4624.56,4615.0719865120755,,,,,,,80.5882352941171,83.85715638912522,74.05039310410083,157.4,10.600000000000364,0.0022928834090418264,-0.005222720994475295,-1
10,20220207,2022-02-07 09:40:00,IF2206,4634.4,4642.6,4643.4,4634.4,9.0,0.002,44228,148.0,206022660.0,4630.360000000001,4619.94,,,,4644.71184810559,4630.573333333334,4616.434818561077,,,,,,,86.66666666666742,82.21180259543418,95.57639480913392,156.54545454545453,9.0,0.0019423342541436462,-0.006677292896221944,-1
11,20220207,2022-02-07 09:41:00,IF2206,4641.0,4643.8,4644.4,4640.2,1.2,0.0,44184,112.0,155990820.0,4633.64,4623.76,,,,4652.139191651052,4634.982222222223,4617.825252793394,,,,,,,98.06921675774309,88.44137290617589,117.32490446087749,152.83333333333334,1.199999999999818,0.0002584758540472619,-0.006847840130927297,-1
12,20220207,2022-02-07 09:42:00,IF2206,4641.6,4634.0,4643.8,4630.2,-9.8,-0.002,44165,78.0,108483300.0,4635.4,4626.98,,,,4649.65774786187,4634.654814814815,4619.65188176776,,,,,,,83.86156648451933,89.53248330297663,72.51973284760473,147.07692307692307,9.800000000000182,-0.0021103406692795086,-0.005092792403970731,-1
13,20220207,2022-02-07 09:43:00,IF2206,4637.0,4629.6,4640.0,4629.6,-4.4,-0.001,44144,73.0,101510220.0,4636.719999999999,4629.08,,,,4644.016251515189,4632.96987654321,4621.923501571232,,,,,62.71669272190184,-28.244274809159112,61.024457530905046,80.9850802577225,21.103212077270143,141.78571428571428,4.399999999999636,-0.0009495036685368227,-0.0034560221185415585,-1
14,20220207,2022-02-07 09:44:00,IF2206,4628.0,4626.0,4631.2,4622.8,-3.6,-0.001,44097,113.0,156834420.0,4635.2,4630.46,,,,4644.67968808114,4630.64658436214,4616.61348064314,,,,69.76744186046511,21.08078510655977,-35.93749999999941,33.449067933656636,59.445030649693685,-18.54285749841746,139.86666666666667,3.600000000000364,-0.0007776049766719292,-0.00216169476869866,-1
15,20220207,2022-02-07 09:45:00,IF2206,4629.0,4626.4,4629.8,4623.6,0.4,0.0,44091,42.0,58299420.0,4631.960000000001,4631.16,,,,4642.38710427782,4629.231056241427,4616.075008205034,,,,69.91812032751855,12.32284051917087,-41.284403669725286,19.878940429101913,38.117488631221214,-16.59815597513669,133.75,0.3999999999996362,8.646779074786775e-05,-0.001556285664879781,0
16,20220207,2022-02-07 09:46:00,IF2206,4627.2,4622.0,4630.8,4622.0,-4.4,-0.001,44068,67.0,92996520.0,4627.6,4630.62,,,,4634.836688190841,4626.820704160951,4618.804720131061,,,,66.02022082589937,-13.796725362987807,-51.85185185185123,10.493827160492957,21.273945174417186,-11.066408867355499,129.8235294117647,4.399999999999636,-0.0009510634618709226,0.00043271311120726956,0
17,20220207,2022-02-07 09:47:00,IF2206,4622.6,4628.4,4629.0,4621.0,6.4,0.001,44045,68.0,94350420.0,4626.4800000000005,4630.9400000000005,,,,4632.54159469028,4627.347136107301,4622.152677524321,,,,68.74927970760247,-18.935698447895195,-43.71584699453617,18.53801169590508,16.303593095166665,23.006848897381907,126.38888888888889,6.399999999999636,0.001384681955863184,-0.0007778065854289721,0
18,20220207,2022-02-07 09:48:00,IF2206,4629.2,4624.4,4629.2,4624.4,-4.0,-0.001,44033,23.0,31927380.0,4625.4400000000005,4631.08,,,,4630.646065611671,4626.364757404867,4622.083449198064,,,,65.22345393570035,-36.34218289086762,-62.5,24.093567251460353,17.70846870261948,36.863764349142095,120.94736842105263,4.0,-0.0008642295393656555,-0.000735230516391237,0
19,20220207,2022-02-07 09:49:00,IF2206,4624.0,4623.0,4625.6,4620.0,-1.4,0.0,44020,62.0,85969440.0,4624.840000000001,4630.02,4622.449999999999,,,4629.8693579314895,4625.243171603245,4620.616985275001,,,,63.98655517870468,-84.96767001115089,-85.59999999999854,33.35282651071946,25.328135152694983,49.402209226768406,118.0,1.3999999999996362,-0.00030274197733752193,-0.0009517629245078166,0
20,20220207,2022-02-07 09:50:00,IF2206,4620.6,4620.4,4622.4,4618.0,-2.6,-0.001,44010,28.0,38806200.0,4623.640000000001,4627.800000000001,4623.869999999998,,,4629.057003609784,4623.62878106883,4618.200558527876,,,,61.6483541773296,-109.29589449053731,-90.90909090909217,26.62037037036818,28.02225471084935,23.81660168940585,113.71428571428571,2.600000000000364,-0.0005624053644820168,-0.0013851614578823557,0
21,20220207,2022-02-07 09:51:00,IF2206,4619.6,4619.0,4623.4,4617.2,-1.4,0.0,43996,50.0,69302100.0,4623.040000000001,4625.320000000001,4624.539999999998,,,4628.650730278796,4622.085854045887,4615.520977812977,,,,60.36912786103521,-100.33333333334478,-93.38235294117575,20.509259259258567,26.82748538011542,7.872807017544858,110.81818181818181,1.3999999999996362,-0.0003030040689117038,-0.001039185970989431,0
22,20220207,2022-02-07 09:52:00,IF2206,4617.0,4619.0,4619.0,4614.6,0.0,0.0,43983,52.0,72019080.0,4621.160000000001,4623.820000000001,4625.399999999998,,,4625.419987451177,4621.057236030591,4616.694484610006,,,,60.36912786103521,-117.51515151514425,-85.23489932885992,21.295662100455626,22.80843057669414,18.270125147978597,108.26086956521739,0.0,0.0,-0.000519592985494617,0
23,20220207,2022-02-07 09:53:00,IF2206,4617.6,4616.4,4620.8,4616.2,-2.6,-0.001,43967,39.0,54037740.0,4619.56,4622.500000000001,4625.789999999997,,,4623.8084968661515,4619.504824020394,4615.201151174637,,,,57.786470760556384,-101.35095447870602,-93.95973154362646,20.500207554999914,20.76837630490472,19.9638700551903,105.375,2.600000000000364,-0.0005628924009526659,-4.332380209683262e-05,0
24,20220207,2022-02-07 09:54:00,IF2206,4616.4,4615.0,4616.4,4613.6,-1.4,0.0,43959,29.0,40151280.0,4617.960000000001,4621.400000000001,4625.929999999998,,,4621.933813926319,4618.003216013596,4614.072618100873,,,,56.387608688092975,-122.81293952180897,-95.45454545454653,20.262112316903284,20.68599399078629,19.414348969137272,102.32,1.3999999999996362,-0.0003032666146780254,-0.0002600216684723333,0
25,20220207,2022-02-07 09:55:00,IF2206,4615.0,4611.2,4615.8,4611.2,-3.8,-0.001,43938,57.0,78897060.0,4616.120000000001,4619.88,4625.519999999998,,,4621.540854155258,4615.735477342398,4609.930100529537,,,,52.66128625637199,-133.8181818181913,-100.0,10.21645021644712,16.992923362783454,-3.3364960762255507,100.57692307692308,3.800000000000182,-0.000823401950162553,0.00017349063150593814,0
26,20220207,2022-02-07 09:56:00,IF2206,4611.2,4612.0,4614.8,4610.6,0.8,0.0,43929,38.0,52572600.0,4614.72,4618.88,4624.749999999998,,,4620.2180053680495,4614.490318228265,4608.762631088481,,,,53.36007463571896,-120.30217186025126,-95.2380952380964,9.337068160595573,13.27187689798201,1.4674506858227012,98.25925925925925,0.8000000000001819,0.00017349063150593814,-0.0001300954032958291,0
27,20220207,2022-02-07 09:57:00,IF2206,4611.0,4603.0,4611.0,4603.0,-9.0,-0.002,43916,99.0,136810740.0,4611.52,4616.34,4623.639999999998,,,4619.99179293847,4610.660212152176,4601.328631365883,,,,45.26487201718457,-178.47439916406142,-100.0,4.5751633986916955,8.042893925244814,-2.3602976544145413,98.28571428571429,9.0,-0.0019514310494362533,0.0015641972626547508,1
28,20220207,2022-02-07 09:58:00,IF2206,4603.6,4602.6,4605.0,4602.0,-0.4,0.0,43928,88.0,121520340.0,4608.76,4614.16,4622.619999999998,,,4618.033772973771,4607.973474768118,4597.913176562464,,,,44.9385603400085,-167.1528903295604,-97.91666666666542,5.964052287581462,6.62542794895626,4.641300964831865,97.93103448275862,0.3999999999996362,-8.689984792518709e-05,0.001694694303219761,1
29,20220207,2022-02-07 09:59:00,IF2206,4602.6,4607.0,4607.0,4602.6,4.4,0.001,43937,41.0,56651580.0,4607.160000000001,4612.5599999999995,4621.289999999998,4619.153333333332,,4615.541866046012,4607.648983178745,4599.756100311478,,,,49.27074694271969,-115.63064038697624,-82.638888888889,13.46618357487994,8.001799753717716,24.394951217204387,96.03333333333333,4.399999999999636,0.0009559814018162855,0.00021706099413935315,0
30,20220207,2022-02-07 10:00:00,IF2206,4607.8,4612.6,4612.6,4605.8,5.6,0.001,43937,24.0,33181980.0,4607.4400000000005,4611.78,4619.789999999998,4619.839999999998,,4617.819979369425,4609.299322119164,4600.7786648689025,,,,54.20886054701703,-55.13120290984047,-61.029411764704285,41.07035024154717,20.16686203466954,82.87732665530243,93.70967741935483,5.600000000000364,0.0012155415671804566,-0.002211334171617033,-1
31,20220207,2022-02-07 10:01:00,IF2206,4613.2,4611.0,4614.8,4609.2,-1.6,0.0,43934,43.0,59508360.0,4607.240000000001,4610.98,4618.149999999998,4620.019999999999,,4617.986904370347,4609.866214746109,4601.745525121872,,,,52.63243765491368,-32.24699828473585,-66.91176470588213,63.11896135265707,39.21849838969474,110.91988727858173,92.125,1.6000000000003638,-0.0003468759484890005,-0.0015614834092387373,-1
32,20220207,2022-02-07 10:02:00,IF2206,4612.2,4619.8,4619.8,4610.8,8.8,0.002,43929,35.0,48459240.0,4610.6,4611.0599999999995,4617.439999999998,4620.619999999998,,4624.69303119509,4613.177476497406,4601.661921799722,,,,59.59248193819939,42.28274967575122,-24.57627118644107,84.37500000000021,62.8547705314015,127.41545893719763,90.39393939393939,8.800000000000182,0.001908479722402989,-0.0039395644833109264,-1
33,20220207,2022-02-07 10:03:00,IF2206,4620.0,4618.2,4623.0,4617.0,-1.6,0.0,43909,46.0,63750120.0,4613.72,4611.24,4616.869999999997,4620.939999999999,,4624.268571938524,4614.851650998271,4605.434730058018,-2.012593992730217,-2.3581960443787264,0.34560205164850943,57.92590342916258,85.3825136612146,-24.29906542056031,82.26102941176393,76.58499692147375,93.6130943923443,89.08823529411765,1.6000000000003638,-0.00034633533919225157,-0.003984236282534242,-1
