index,value,position_value,cash,gain,hold_day
2022-02-07 10:09:00,999800.7616,996192.0,3608.761599999969,,
2022-02-07 10:21:00,1001442.3616000001,997833.6000000001,3608.761599999969,1841.1667200000957,0.0
2022-02-07 10:41:00,995515.85728,992217.6000000001,3298.2572799999034,-5728.060800000094,0.0
2022-02-07 10:43:00,995818.2572799999,992520.0,3298.2572799999034,500.903999999864,0.0
2022-02-07 10:44:00,995818.2572799999,992520.0,3298.2572799999034,198.50399999995716,0.0
2022-02-07 10:45:00,995818.2572799999,992520.0,3298.2572799999034,198.50399999995716,0.0
2022-02-07 10:47:00,996466.2572799999,993168.0,3298.2572799999034,846.6335999999428,0.0
2022-02-07 10:48:00,996466.2572799999,993168.0,3298.2572799999034,198.63359999994282,0.0
2022-02-07 10:49:00,996466.2572799999,993168.0,3298.2572799999034,198.63359999994282,0.0
2022-02-07 10:50:00,996466.2572799999,993168.0,3298.2572799999034,198.63359999994282,0.0
2022-02-07 10:52:00,995637.3270399999,991915.2,3722.127039999934,-630.54720000003,0.0
2022-02-07 10:53:00,995637.3270399999,991915.2,3722.127039999934,198.38303999998607,0.0
2022-02-07 10:55:00,996976.5270399998,993254.3999999999,3722.127039999934,1537.8508799999254,0.0
2022-02-07 10:57:00,997581.3270399999,993859.2,3722.127039999934,803.5718399999896,0.0
2022-02-07 10:58:00,997581.3270399999,993859.2,3722.127039999934,198.77183999994304,0.0
2022-02-07 11:00:00,997624.5270399998,993902.3999999999,3722.127039999934,241.98047999991104,0.0
2022-02-07 11:01:00,997624.5270399998,993902.3999999999,3722.127039999934,198.7804799999576,0.0
2022-02-07 11:02:00,997624.5270399998,993902.3999999999,3722.127039999934,198.7804799999576,0.0
2022-02-07 11:03:00,997624.5270399998,993902.3999999999,3722.127039999934,198.7804799999576,0.0
2022-02-07 11:04:00,997624.5270399998,993902.3999999999,3722.127039999934,198.7804799999576,0.0
2022-02-07 11:06:00,996544.5270399998,992822.3999999999,3722.127039999934,-881.4355200000573,0.0
2022-02-07 11:07:00,996544.5270399998,992822.3999999999,3722.127039999934,198.5644799999427,0.0
2022-02-07 11:08:00,996544.5270399998,992822.3999999999,3722.127039999934,198.5644799999427,0.0
2022-02-07 11:10:00,996674.1270399999,992952.0,3722.127039999934,328.19040000007953,0.0
2022-02-07 11:16:00,995629.0499199999,993081.6000000001,2547.44991999981,-846.4608000000007,0.0
2022-02-07 11:21:00,995879.6531199999,993254.3999999999,2625.2531200000085,449.25407999998424,0.0
2022-02-08 09:31:00,995914.1526399999,993816.0,2098.1526399998693,233.2627199999988,0.0
2022-02-08 09:49:00,991896.5526399998,989798.3999999999,2098.1526399998693,-3819.6403200001223,0.0
2022-02-08 09:52:00,991248.5526399998,989150.3999999999,2098.1526399998693,-450.1699200000148,0.0
2022-02-08 09:55:00,990643.75264,988545.6000000001,2098.1526399998693,-407.09087999979965,0.0
2022-02-08 09:56:00,990643.75264,988545.6000000001,2098.1526399998693,197.70912000001408,0.0
2022-02-08 09:57:00,990643.75264,988545.6000000001,2098.1526399998693,197.70912000001408,0.0
2022-02-08 10:02:00,991587.1110399999,989323.2,2263.911039999919,1141.2230399999535,0.0
2022-02-08 10:03:00,991587.1110399999,989323.2,2263.911039999919,197.86464000004344,0.0
2022-02-08 10:05:00,992364.71104,990100.8,2263.911039999919,975.6201600000495,0.0
2022-02-08 10:24:00,986527.32832,986256.0,271.3283199999714,-5640.131519999937,0.0
2022-02-08 10:28:00,986823.8444799999,986472.0,351.84447999985423,493.8105599998962,0.0
2022-02-08 10:29:00,986823.8444799999,986472.0,351.84447999985423,197.2944000000134,0.0
2022-02-08 10:30:00,986823.8444799999,986472.0,351.84447999985423,197.2944000000134,0.0
2022-02-08 10:31:00,986823.8444799999,986472.0,351.84447999985423,197.2944000000134,0.0
2022-02-08 10:44:00,985997.9641599999,983361.6000000001,2636.3641599997645,-629.2079999999842,0.0
2022-02-08 10:45:00,985997.9641599999,983361.6000000001,2636.3641599997645,196.6723200000124,0.0
2022-02-08 10:47:00,984356.3641599998,981720.0,2636.3641599997645,-1445.2560000000522,0.0
2022-02-08 10:50:00,983924.3641599998,981288.0,2636.3641599997645,-235.74239999998827,0.0
2022-02-08 10:51:00,983924.3641599998,981288.0,2636.3641599997645,196.25760000001173,0.0
2022-02-08 10:52:00,983924.3641599998,981288.0,2636.3641599997645,196.25760000001173,0.0
2022-02-08 10:53:00,983924.3641599998,981288.0,2636.3641599997645,196.25760000001173,0.0
2022-02-08 10:55:00,984222.9539199997,981072.0,3150.9539199996507,494.8041599999415,0.0
2022-02-08 10:56:00,984222.9539199997,981072.0,3150.9539199996507,196.21440000005532,0.0
2022-02-08 10:57:00,984222.9539199997,981072.0,3150.9539199996507,196.21440000005532,0.0
