year,Maximum Drawdown,Maximum Drawdown Period,win_ratio,win_loss_ratio,WEEK,Annualized Return,Annualized Volatility,Sharpe Ratio,Calmar Ratio
2022,-0.024900234624623544,from 2022/02/07 to 2022/02/08,0.8114754098360656,-0.3247959773798204,2022-02-13,-0.0025888622090622948,0.07681058643564108,-0.03370449737721349,-0.1039693901720187
2022,-0.03165335605330557,from 2022/02/14 to 2022/02/17,0.7697841726618705,-0.48975191301998966,2022-02-20,-0.003726233025043475,0.08647240736183717,-0.04309158422583678,-0.11771999843455283
2022,-0.04845058350248591,from 2022/02/21 to 2022/02/24,0.7942028985507247,-0.35382718769317706,2022-02-27,-0.009081146409080029,0.13281391259508354,-0.06837496337274677,-0.18743110510968544
2022,-0.008272184544513743,from 2022/02/28 to 2022/02/28,0.8958333333333334,-0.14148487182604066,2022-03-06,-0.007391722688248997,0.13669160653080623,-0.05407590762775271,-0.893563562136838
